ensembl_transcript_id	ensembl_gene_id
FBtr0340665	FBgn0265722
FBtr0084009	FBgn0028468
FBtr0308916	FBgn0029708
FBtr0070674	FBgn0029708
FBtr0075041	FBgn0036838
FBtr0085592	FBgn0002626
FBtr0085594	FBgn0002626
FBtr0085593	FBgn0002626
FBtr0114555	FBgn0002626
FBtr0340156	FBgn0003189
FBtr0340155	FBgn0003189
FBtr0089734	FBgn0003189
FBtr0300386	FBgn0052712
FBtr0339736	FBgn0037491
FBtr0081598	FBgn0037491
FBtr0303035	FBgn0039711
FBtr0089927	FBgn0039711
FBtr0081384	FBgn0032870
FBtr0303390	FBgn0261830
FBtr0333757	FBgn0026313
FBtr0301696	FBgn0026313
FBtr0340621	FBgn0026313
FBtr0074451	FBgn0026313
FBtr0340620	FBgn0026313
FBtr0077653	FBgn0031498
FBtr0344088	FBgn0031498
FBtr0335478	FBgn0031498
FBtr0300625	FBgn0260222
FBtr0342958	FBgn0260222
FBtr0344710	FBgn0031883
FBtr0344708	FBgn0031883
FBtr0089640	FBgn0031883
FBtr0344711	FBgn0031883
FBtr0344712	FBgn0031883
FBtr0344709	FBgn0031883
FBtr0089636	FBgn0031883
FBtr0330371	FBgn0051140
FBtr0084497	FBgn0051140
FBtr0084498	FBgn0051140
FBtr0300963	FBgn0051140
FBtr0305041	FBgn0051140
FBtr0113392	FBgn0051140
FBtr0113393	FBgn0051140
FBtr0333614	FBgn0036560
FBtr0075437	FBgn0036560
FBtr0084401	FBgn0039058
FBtr0089919	FBgn0259139
FBtr0089918	FBgn0259139
FBtr0089917	FBgn0259139
FBtr0087659	FBgn0011883
FBtr0344888	FBgn0085398
FBtr0112594	FBgn0085398
FBtr0113583	FBgn0083039
FBtr0342632	FBgn0032515
FBtr0100220	FBgn0032515
FBtr0342633	FBgn0032515
FBtr0303269	FBgn0032515
FBtr0080497	FBgn0032515
FBtr0080498	FBgn0032515
FBtr0079887	FBgn0032170
FBtr0079885	FBgn0032170
FBtr0343738	FBgn0032170
FBtr0343739	FBgn0032170
FBtr0079886	FBgn0032170
FBtr0073159	FBgn0035471
FBtr0331244	FBgn0032815
FBtr0331243	FBgn0032815
FBtr0305952	FBgn0032815
FBtr0100351	FBgn0032815
FBtr0081325	FBgn0032815
FBtr0100352	FBgn0032815
FBtr0307883	FBgn0265011
FBtr0112560	FBgn0265011
FBtr0082602	FBgn0038034
FBtr0077778	FBgn0011818
FBtr0077779	FBgn0011818
FBtr0077777	FBgn0011818
FBtr0077780	FBgn0011818
FBtr0071790	FBgn0034697
FBtr0304838	FBgn0262485
FBtr0334323	FBgn0264787
FBtr0347132	FBgn0267663
FBtr0088032	FBgn0033657
FBtr0076837	FBgn0035760
FBtr0081662	FBgn0051485
FBtr0076272	FBgn0027615
FBtr0076271	FBgn0027615
FBtr0346134	FBgn0266375
FBtr0346133	FBgn0266375
FBtr0344171	FBgn0266375
FBtr0344170	FBgn0266375
FBtr0344169	FBgn0266375
FBtr0344168	FBgn0266375
FBtr0074205	FBgn0052580
FBtr0304293	FBgn0262227
FBtr0304292	FBgn0262227
FBtr0342639	FBgn0032512
FBtr0080471	FBgn0032512
FBtr0091769	FBgn0053768
FBtr0339745	FBgn0265429
FBtr0085103	FBgn0039482
FBtr0084091	FBgn0011278
FBtr0077763	FBgn0261647
FBtr0330666	FBgn0261647
FBtr0077762	FBgn0261647
FBtr0330665	FBgn0261647
FBtr0304114	FBgn0051721
FBtr0080096	FBgn0051721
FBtr0345593	FBgn0035625
FBtr0077089	FBgn0035625
FBtr0331808	FBgn0035625
FBtr0331809	FBgn0035625
FBtr0331807	FBgn0035625
FBtr0331806	FBgn0035625
FBtr0339980	FBgn0033951
FBtr0087433	FBgn0033951
FBtr0112906	FBgn0261014
FBtr0088391	FBgn0261014
FBtr0112905	FBgn0261014
FBtr0343852	FBgn0261014
FBtr0079587	FBgn0031997
FBtr0079588	FBgn0031997
FBtr0335190	FBgn0031997
FBtr0083453	FBgn0038498
FBtr0339170	FBgn0038498
FBtr0332003	FBgn0264343
FBtr0086018	FBgn0033062
FBtr0086021	FBgn0033062
FBtr0310666	FBgn0033062
FBtr0310665	FBgn0033062
FBtr0310667	FBgn0033062
FBtr0086020	FBgn0033062
FBtr0071861	FBgn0034740
FBtr0345496	FBgn0034740
FBtr0332981	FBgn0035491
FBtr0073281	FBgn0035491
FBtr0331770	FBgn0035159
FBtr0290220	FBgn0035159
FBtr0072602	FBgn0035159
FBtr0112789	FBgn0004841
FBtr0082315	FBgn0004841
FBtr0336665	FBgn0033081
FBtr0086147	FBgn0033081
FBtr0081439	FBgn0266369
FBtr0071907	FBgn0034791
FBtr0344473	FBgn0086370
FBtr0083255	FBgn0086370
FBtr0089062	FBgn0033137
FBtr0336874	FBgn0033137
FBtr0339645	FBgn0037989
FBtr0300351	FBgn0037989
FBtr0339646	FBgn0037989
FBtr0307016	FBgn0037989
FBtr0339644	FBgn0037989
FBtr0339643	FBgn0037989
FBtr0307015	FBgn0037989
FBtr0301640	FBgn0041707
FBtr0078789	FBgn0041707
FBtr0309527	FBgn0263507
FBtr0309528	FBgn0263507
FBtr0075840	FBgn0036349
FBtr0091608	FBgn0053631
FBtr0343887	FBgn0266223
FBtr0300281	FBgn0036765
FBtr0075142	FBgn0036765
FBtr0300282	FBgn0036765
FBtr0075327	FBgn0036662
FBtr0075326	FBgn0036662
FBtr0339926	FBgn0265467
FBtr0342695	FBgn0265859
FBtr0305069	FBgn0003091
FBtr0112819	FBgn0003091
FBtr0305070	FBgn0003091
FBtr0087048	FBgn0003091
FBtr0087049	FBgn0003091
FBtr0331960	FBgn0003091
FBtr0343843	FBgn0266203
FBtr0332489	FBgn0031170
FBtr0332488	FBgn0031170
FBtr0306679	FBgn0031170
FBtr0304816	FBgn0262478
FBtr0309979	FBgn0263615
FBtr0071749	FBgn0034681
FBtr0100882	FBgn0013702
FBtr0073143	FBgn0035449
FBtr0333775	FBgn0264678
FBtr0333774	FBgn0264678
FBtr0332577	FBgn0086447
FBtr0336628	FBgn0086447
FBtr0081161	FBgn0086447
FBtr0073481	FBgn0030266
FBtr0074708	FBgn0031016
FBtr0309223	FBgn0031016
FBtr0074707	FBgn0031016
FBtr0309224	FBgn0031016
FBtr0091626	FBgn0064115
FBtr0346369	FBgn0267212
FBtr0084463	FBgn0039115
FBtr0299616	FBgn0259167
FBtr0299617	FBgn0259167
FBtr0073643	FBgn0030384
FBtr0084309	FBgn0039019
FBtr0085881	FBgn0011224
FBtr0300264	FBgn0011224
FBtr0085883	FBgn0011224
FBtr0300268	FBgn0011224
FBtr0085886	FBgn0011224
FBtr0300266	FBgn0011224
FBtr0085888	FBgn0011224
FBtr0300270	FBgn0011224
FBtr0085887	FBgn0011224
FBtr0085880	FBgn0011224
FBtr0112866	FBgn0011224
FBtr0300265	FBgn0011224
FBtr0306693	FBgn0011224
FBtr0300263	FBgn0011224
FBtr0112865	FBgn0011224
FBtr0085879	FBgn0011224
FBtr0085882	FBgn0011224
FBtr0085885	FBgn0011224
FBtr0346192	FBgn0011224
FBtr0300269	FBgn0011224
FBtr0085878	FBgn0011224
FBtr0306692	FBgn0011224
FBtr0300267	FBgn0011224
FBtr0112864	FBgn0011224
FBtr0085884	FBgn0011224
FBtr0085304	FBgn0039589
FBtr0344334	FBgn0266393
FBtr0347348	FBgn0267782
FBtr0340504	FBgn0265639
FBtr0343878	FBgn0266222
FBtr0343879	FBgn0266222
FBtr0343877	FBgn0266222
FBtr0112523	FBgn0085350
FBtr0321258	FBgn0036414
FBtr0089524	FBgn0036414
FBtr0344620	FBgn0039565
FBtr0085264	FBgn0039565
FBtr0113538	FBgn0083028
FBtr0078079	FBgn0005660
FBtr0344014	FBgn0005660
FBtr0345429	FBgn0005660
FBtr0112854	FBgn0005660
FBtr0346118	FBgn0030502
FBtr0073849	FBgn0030502
FBtr0344199	FBgn0020370
FBtr0087774	FBgn0020370
FBtr0339755	FBgn0020370
FBtr0087775	FBgn0020370
FBtr0332316	FBgn0029720
FBtr0070688	FBgn0029720
FBtr0300468	FBgn0029720
FBtr0331932	FBgn0002593
FBtr0078056	FBgn0002593
FBtr0332209	FBgn0264362
FBtr0310042	FBgn0263650
FBtr0076392	FBgn0036028
FBtr0070363	FBgn0023518
FBtr0070362	FBgn0023518
FBtr0081391	FBgn0032877
FBtr0336825	FBgn0032877
FBtr0087291	FBgn0034052
FBtr0088676	FBgn0033351
FBtr0330330	FBgn0263998
FBtr0330329	FBgn0263998
FBtr0330332	FBgn0263998
FBtr0330331	FBgn0263998
FBtr0321316	FBgn0263849
FBtr0333129	FBgn0259971
FBtr0300315	FBgn0259971
FBtr0070436	FBgn0260753
FBtr0308565	FBgn0260753
FBtr0340084	FBgn0260753
FBtr0340085	FBgn0260753
FBtr0113334	FBgn0040817
FBtr0346149	FBgn0038481
FBtr0083417	FBgn0038481
FBtr0347207	FBgn0267697
FBtr0073916	FBgn0030569
FBtr0306639	FBgn0003149
FBtr0076593	FBgn0003149
FBtr0076596	FBgn0003149
FBtr0076594	FBgn0003149
FBtr0076595	FBgn0003149
FBtr0074260	FBgn0030722
FBtr0088236	FBgn0033569
FBtr0082356	FBgn0051388
FBtr0304709	FBgn0051388
FBtr0070642	FBgn0026085
FBtr0333183	FBgn0026085
FBtr0333184	FBgn0026085
FBtr0074619	FBgn0030937
FBtr0308492	FBgn0263270
FBtr0111152	FBgn0058470
FBtr0306024	FBgn0266758
FBtr0084647	FBgn0266758
FBtr0084648	FBgn0266758
FBtr0334336	FBgn0266758
FBtr0083976	FBgn0051334
FBtr0334534	FBgn0039647
FBtr0113303	FBgn0039647
FBtr0113304	FBgn0039647
FBtr0334533	FBgn0039647
FBtr0344021	FBgn0265147
FBtr0336992	FBgn0265147
FBtr0084233	FBgn0051162
FBtr0346245	FBgn0267149
FBtr0091689	FBgn0053701
FBtr0086295	FBgn0034510
FBtr0332249	FBgn0053012
FBtr0300097	FBgn0036192
FBtr0079894	FBgn0032167
FBtr0331635	FBgn0032167
FBtr0345615	FBgn0032167
FBtr0310152	FBgn0033799
FBtr0310155	FBgn0033799
FBtr0310151	FBgn0033799
FBtr0310154	FBgn0033799
FBtr0087772	FBgn0033799
FBtr0310153	FBgn0033799
FBtr0079660	FBgn0032039
FBtr0100558	FBgn0001223
FBtr0100559	FBgn0001223
FBtr0083268	FBgn0012011
FBtr0331429	FBgn0038098
FBtr0082727	FBgn0038098
FBtr0331428	FBgn0038098
FBtr0082726	FBgn0038098
FBtr0301219	FBgn0038098
FBtr0334591	FBgn0038363
FBtr0083174	FBgn0038363
FBtr0308330	FBgn0266347
FBtr0308331	FBgn0266347
FBtr0346707	FBgn0266347
FBtr0300118	FBgn0266347
FBtr0308332	FBgn0266347
FBtr0332872	FBgn0266347
FBtr0114325	FBgn0086049
FBtr0072263	FBgn0050418
FBtr0087815	FBgn0033778
FBtr0308570	FBgn0031055
FBtr0308571	FBgn0031055
FBtr0336836	FBgn0265074
FBtr0074655	FBgn0030966
FBtr0340023	FBgn0259718
FBtr0299971	FBgn0259718
FBtr0086918	FBgn0034218
FBtr0303428	FBgn0261853
FBtr0347196	FBgn0261853
FBtr0087780	FBgn0033793
FBtr0071213	FBgn0030049
FBtr0331725	FBgn0030049
FBtr0331724	FBgn0030049
FBtr0112963	FBgn0030049
FBtr0071212	FBgn0030049
FBtr0331723	FBgn0030049
FBtr0112964	FBgn0030049
FBtr0080520	FBgn0032523
FBtr0084482	FBgn0051143
FBtr0086116	FBgn0033086
FBtr0086115	FBgn0033086
FBtr0330253	FBgn0033086
FBtr0077876	FBgn0031351
FBtr0333744	FBgn0261802
FBtr0303272	FBgn0261802
FBtr0333742	FBgn0261802
FBtr0333745	FBgn0261802
FBtr0303277	FBgn0261802
FBtr0303275	FBgn0261802
FBtr0303273	FBgn0261802
FBtr0303271	FBgn0261802
FBtr0333743	FBgn0261802
FBtr0303274	FBgn0261802
FBtr0303276	FBgn0261802
FBtr0078262	FBgn0037030
FBtr0345826	FBgn0037030
FBtr0085700	FBgn0039799
FBtr0346147	FBgn0039799
FBtr0343200	FBgn0266010
FBtr0080078	FBgn0003751
FBtr0083667	FBgn0038640
FBtr0273369	FBgn0051410
FBtr0084835	FBgn0039335
FBtr0347217	FBgn0038871
FBtr0084107	FBgn0038871
FBtr0114592	FBgn0263352
FBtr0332984	FBgn0263352
FBtr0345595	FBgn0263352
FBtr0076661	FBgn0263352
FBtr0308954	FBgn0263352
FBtr0070218	FBgn0023169
FBtr0070217	FBgn0023169
FBtr0070216	FBgn0023169
FBtr0079872	FBgn0029174
FBtr0342837	FBgn0029174
FBtr0079064	FBgn0051971
FBtr0114358	FBgn0086082
FBtr0076519	FBgn0035951
FBtr0333907	FBgn0035951
FBtr0084330	FBgn0039010
FBtr0347314	FBgn0267747
FBtr0072693	FBgn0035217
FBtr0303785	FBgn0034785
FBtr0346332	FBgn0267189
FBtr0346334	FBgn0267189
FBtr0346333	FBgn0267189
FBtr0305604	FBgn0266019
FBtr0333015	FBgn0266019
FBtr0305605	FBgn0266019
FBtr0305603	FBgn0266019
FBtr0305606	FBgn0266019
FBtr0080099	FBgn0051872
FBtr0345637	FBgn0051872
FBtr0071628	FBgn0261067
FBtr0301446	FBgn0061492
FBtr0301448	FBgn0061492
FBtr0301447	FBgn0061492
FBtr0334409	FBgn0053481
FBtr0334408	FBgn0053481
FBtr0345372	FBgn0266764
FBtr0333360	FBgn0035238
FBtr0344803	FBgn0035238
FBtr0072825	FBgn0035238
FBtr0071756	FBgn0034691
FBtr0308239	FBgn0034691
FBtr0071757	FBgn0034691
FBtr0080925	FBgn0051810
FBtr0100873	FBgn0013701
FBtr0334509	FBgn0038100
FBtr0082693	FBgn0038100
FBtr0089526	FBgn0053490
FBtr0337083	FBgn0265162
FBtr0079315	FBgn0031849
FBtr0113181	FBgn0036881
FBtr0332756	FBgn0036881
FBtr0332755	FBgn0036881
FBtr0087130	FBgn0034094
FBtr0346274	FBgn0028686
FBtr0073436	FBgn0028686
FBtr0077180	FBgn0035590
FBtr0081221	FBgn0032774
FBtr0300823	FBgn0032774
FBtr0081219	FBgn0032774
FBtr0310645	FBgn0032774
FBtr0081220	FBgn0032774
FBtr0299796	FBgn0259229
FBtr0331382	FBgn0050484
FBtr0343396	FBgn0266069
FBtr0081625	FBgn0001077
FBtr0084948	FBgn0039398
FBtr0081599	FBgn0037489
FBtr0070042	FBgn0264492
FBtr0344974	FBgn0264492
FBtr0070044	FBgn0264492
FBtr0070043	FBgn0264492
FBtr0111141	FBgn0264492
FBtr0345139	FBgn0264492
FBtr0345138	FBgn0264492
FBtr0346925	FBgn0267554
FBtr0079892	FBgn0032168
FBtr0343747	FBgn0032168
FBtr0081428	FBgn0032899
FBtr0333009	FBgn0032899
FBtr0333449	FBgn0020294
FBtr0078324	FBgn0020294
FBtr0340727	FBgn0265762
FBtr0073904	FBgn0260482
FBtr0089058	FBgn0050299
FBtr0333047	FBgn0261934
FBtr0303749	FBgn0261934
FBtr0303751	FBgn0261934
FBtr0303750	FBgn0261934
FBtr0303748	FBgn0261934
FBtr0330145	FBgn0261934
FBtr0113204	FBgn0037548
FBtr0077506	FBgn0031580
FBtr0305579	FBgn0037015
FBtr0113182	FBgn0037015
FBtr0113183	FBgn0037015
FBtr0080487	FBgn0032483
FBtr0074486	FBgn0030851
FBtr0347123	FBgn0267654
FBtr0347122	FBgn0267654
FBtr0071833	FBgn0034734
FBtr0343249	FBgn0000497
FBtr0078045	FBgn0000497
FBtr0091821	FBgn0053817
FBtr0088816	FBgn0033268
FBtr0339297	FBgn0033268
FBtr0080754	FBgn0028945
FBtr0078448	FBgn0046301
FBtr0340712	FBgn0265750
FBtr0346810	FBgn0053795
FBtr0077962	FBgn0031314
FBtr0304018	FBgn0004108
FBtr0075322	FBgn0004108
FBtr0075323	FBgn0004108
FBtr0309762	FBgn0263463
FBtr0081143	FBgn0002022
FBtr0333870	FBgn0063670
FBtr0333871	FBgn0063670
FBtr0333872	FBgn0063670
FBtr0113841	FBgn0063670
FBtr0342613	FBgn0265785
FBtr0086133	FBgn0000473
FBtr0343885	FBgn0266225
FBtr0111041	FBgn0083988
FBtr0346223	FBgn0267127
FBtr0100833	FBgn0054056
FBtr0113158	FBgn0036059
FBtr0076344	FBgn0036059
FBtr0345695	FBgn0036059
FBtr0114600	FBgn0036059
FBtr0345694	FBgn0036059
FBtr0113159	FBgn0036059
FBtr0082625	FBgn0037996
FBtr0347112	FBgn0267656
FBtr0079235	FBgn0000308
FBtr0309213	FBgn0000308
FBtr0309212	FBgn0000308
FBtr0079233	FBgn0000308
FBtr0079234	FBgn0000308
FBtr0079236	FBgn0000308
FBtr0340015	FBgn0034060
FBtr0087203	FBgn0034060
FBtr0074992	FBgn0036859
FBtr0333801	FBgn0000667
FBtr0333802	FBgn0000667
FBtr0310658	FBgn0000667
FBtr0070345	FBgn0000667
FBtr0070344	FBgn0000667
FBtr0310657	FBgn0000667
FBtr0070343	FBgn0000667
FBtr0303048	FBgn0000667
FBtr0310659	FBgn0000667
FBtr0301069	FBgn0053700
FBtr0335003	FBgn0039110
FBtr0084468	FBgn0039110
FBtr0301153	FBgn0030961
FBtr0306011	FBgn0031664
FBtr0079045	FBgn0031664
FBtr0331228	FBgn0031664
FBtr0079046	FBgn0031664
FBtr0082312	FBgn0051272
FBtr0340641	FBgn0265710
FBtr0087193	FBgn0034091
FBtr0087195	FBgn0034091
FBtr0306653	FBgn0034091
FBtr0113084	FBgn0034091
FBtr0087194	FBgn0034091
FBtr0087196	FBgn0034091
FBtr0306652	FBgn0034091
FBtr0332855	FBgn0034091
FBtr0302418	FBgn0053668
FBtr0332605	FBgn0264449
FBtr0332609	FBgn0264449
FBtr0332611	FBgn0264449
FBtr0343358	FBgn0264449
FBtr0343360	FBgn0264449
FBtr0332610	FBgn0264449
FBtr0332604	FBgn0264449
FBtr0332612	FBgn0264449
FBtr0332606	FBgn0264449
FBtr0343359	FBgn0264449
FBtr0076108	FBgn0015828
FBtr0083526	FBgn0038549
FBtr0308762	FBgn0263334
FBtr0308761	FBgn0263334
FBtr0331514	FBgn0264307
FBtr0331515	FBgn0264307
FBtr0331511	FBgn0264307
FBtr0331512	FBgn0264307
FBtr0331513	FBgn0264307
FBtr0071438	FBgn0028342
FBtr0343981	FBgn0028342
FBtr0332896	FBgn0028342
FBtr0309184	FBgn0263405
FBtr0113373	FBgn0050366
FBtr0088771	FBgn0050366
FBtr0085035	FBgn0039444
FBtr0303853	FBgn0262023
FBtr0072040	FBgn0050413
FBtr0075308	FBgn0028693
FBtr0344827	FBgn0029756
FBtr0070798	FBgn0029756
FBtr0071871	FBgn0034768
FBtr0081233	FBgn0032763
FBtr0086412	FBgn0053420
FBtr0342912	FBgn0265944
FBtr0073860	FBgn0011948
FBtr0082130	FBgn0037743
FBtr0339694	FBgn0030309
FBtr0073544	FBgn0030309
FBtr0073543	FBgn0030309
FBtr0339693	FBgn0030309
FBtr0083599	FBgn0038596
FBtr0085990	FBgn0033069
FBtr0340564	FBgn0265687
FBtr0347321	FBgn0267757
FBtr0071782	FBgn0034711
FBtr0087742	FBgn0033813
FBtr0088158	FBgn0050025
FBtr0084690	FBgn0004885
FBtr0084689	FBgn0004885
FBtr0339252	FBgn0004885
FBtr0074758	FBgn0031053
FBtr0332891	FBgn0031053
FBtr0332890	FBgn0031053
FBtr0072519	FBgn0035121
FBtr0332107	FBgn0035121
FBtr0112593	FBgn0085397
FBtr0330338	FBgn0085397
FBtr0344289	FBgn0037577
FBtr0081837	FBgn0037577
FBtr0088548	FBgn0029092
FBtr0339384	FBgn0029092
FBtr0306808	FBgn0029092
FBtr0088550	FBgn0029092
FBtr0088549	FBgn0029092
FBtr0344908	FBgn0266624
FBtr0078821	FBgn0037305
FBtr0114356	FBgn0086080
FBtr0073094	FBgn0035425
FBtr0073093	FBgn0035425
FBtr0345781	FBgn0266912
FBtr0074465	FBgn0030874
FBtr0082789	FBgn0038159
FBtr0339537	FBgn0022986
FBtr0071843	FBgn0022986
FBtr0346637	FBgn0022986
FBtr0079287	FBgn0051637
FBtr0343155	FBgn0051637
FBtr0346493	FBgn0267277
FBtr0307115	FBgn0036179
FBtr0110884	FBgn0036179
FBtr0346845	FBgn0267473
FBtr0073348	FBgn0027085
FBtr0111240	FBgn0086683
FBtr0111239	FBgn0086683
FBtr0111241	FBgn0086683
FBtr0070823	FBgn0000042
FBtr0070822	FBgn0000042
FBtr0100662	FBgn0000042
FBtr0345894	FBgn0000042
FBtr0100663	FBgn0000042
FBtr0081580	FBgn0045843
FBtr0081581	FBgn0045843
FBtr0300520	FBgn0259174
FBtr0300519	FBgn0259174
FBtr0299646	FBgn0259174
FBtr0331843	FBgn0259174
FBtr0299642	FBgn0259174
FBtr0331844	FBgn0259174
FBtr0299647	FBgn0259174
FBtr0299645	FBgn0259174
FBtr0299648	FBgn0259174
FBtr0300250	FBgn0259936
FBtr0300249	FBgn0259936
FBtr0081385	FBgn0259936
FBtr0340071	FBgn0085220
FBtr0112384	FBgn0085220
FBtr0345120	FBgn0010424
FBtr0089585	FBgn0010424
FBtr0074643	FBgn0030969
FBtr0336757	FBgn0028708
FBtr0081969	FBgn0028708
FBtr0342853	FBgn0265921
FBtr0070832	FBgn0029813
FBtr0300448	FBgn0000360
FBtr0071204	FBgn0000360
FBtr0080005	FBgn0032234
FBtr0332193	FBgn0032234
FBtr0303797	FBgn0261999
FBtr0332356	FBgn0261999
FBtr0073672	FBgn0052651
FBtr0330225	FBgn0000183
FBtr0081002	FBgn0000183
FBtr0330226	FBgn0000183
FBtr0305688	FBgn0000183
FBtr0079651	FBgn0032032
FBtr0086369	FBgn0053377
FBtr0304426	FBgn0262291
FBtr0304425	FBgn0262291
FBtr0084962	FBgn0001139
FBtr0084963	FBgn0001139
FBtr0084964	FBgn0001139
FBtr0302952	FBgn0001139
FBtr0337057	FBgn0001139
FBtr0305047	FBgn0001139
FBtr0339900	FBgn0001139
FBtr0084966	FBgn0001139
FBtr0084965	FBgn0001139
FBtr0302951	FBgn0001139
FBtr0300154	FBgn0259857
FBtr0073752	FBgn0030439
FBtr0072676	FBgn0011361
FBtr0331864	FBgn0011361
FBtr0072677	FBgn0011361
FBtr0086149	FBgn0026761
FBtr0336666	FBgn0026761
FBtr0112814	FBgn0002576
FBtr0071320	FBgn0002576
FBtr0077717	FBgn0028398
FBtr0080965	FBgn0046888
FBtr0290247	FBgn0052448
FBtr0303248	FBgn0052448
FBtr0078481	FBgn0000100
FBtr0334113	FBgn0000100
FBtr0345962	FBgn0267011
FBtr0088223	FBgn0033551
FBtr0345945	FBgn0033551
FBtr0345015	FBgn0031118
FBtr0077320	FBgn0031118
FBtr0340405	FBgn0031118
FBtr0304906	FBgn0031118
FBtr0301537	FBgn0031118
FBtr0087636	FBgn0033872
FBtr0339950	FBgn0033872
FBtr0087633	FBgn0033872
FBtr0087634	FBgn0033872
FBtr0339951	FBgn0033872
FBtr0087635	FBgn0033872
FBtr0345972	FBgn0267016
FBtr0330281	FBgn0036868
FBtr0071001	FBgn0052733
FBtr0079187	FBgn0031770
FBtr0074601	FBgn0030943
FBtr0333014	FBgn0264509
FBtr0347074	FBgn0267623
FBtr0334490	FBgn0264821
FBtr0344970	FBgn0264821
FBtr0112350	FBgn0085188
FBtr0344277	FBgn0051352
FBtr0082092	FBgn0051352
FBtr0344275	FBgn0051352
FBtr0346714	FBgn0051352
FBtr0300565	FBgn0051352
FBtr0344276	FBgn0051352
FBtr0339597	FBgn0051352
FBtr0300564	FBgn0051352
FBtr0071091	FBgn0029975
FBtr0343506	FBgn0035091
FBtr0072396	FBgn0035091
FBtr0072152	FBgn0003008
FBtr0110975	FBgn0083976
FBtr0081749	FBgn0051473
FBtr0336639	FBgn0265046
FBtr0340718	FBgn0265756
FBtr0084892	FBgn0039348
FBtr0300730	FBgn0039348
FBtr0084893	FBgn0039348
FBtr0340548	FBgn0265683
FBtr0079241	FBgn0040949
FBtr0343802	FBgn0266201
FBtr0084345	FBgn0039042
FBtr0332540	FBgn0038332
FBtr0303236	FBgn0038332
FBtr0303235	FBgn0038332
